date,item,isin,side,qty,price
2023-12-08, SPX/H24P3200:xcbf 5755602123,,BUY,,3823		
2024-01-04, SPX/J24P3250:xcbf 5777297380,,BUY,,2381
2024-02-09, SPX/K24P3500:xcbf 5812067882,,BUY,,1865
2024-03-01, SPX/M24P3650:xcbf 5829958615,,BUY,,2271
2024-03-18, SPX/N24P3625:xcbf 5845486493,,BUY,,930)
2024-04-26, SPX/Q24P3550:xcbf 5886769519,,BUY,,1407
2024-05-13, SPX/U24P3650:xcbf 5900601802,,BUY,,1539
2024-06-13, SPX/V24P3800:xcbf 5930224967,,BUY,,1691
2024-06-20, SPX/U24P3850:xcbf 5935861630,,BUY,,360
2024-07-03, SPX/X24P3850:xcbf 5947525450,,BUY,,1622
2024-07-11, SPX/X24P3950:xcbf 5954168239,,BUY,,605
2024-08-29, SPX/Z24P3975:xcbf 6000435963,,BUY,,2851
2024-09-17, SPX/F25P3900:xcbf 6015499356,,BUY,,1753
2024-10-29, SPX/G25P4100:xcbf 6055049763,,BUY,,913)
2024-11-13, SPX/H25P4200:xcbf 6071490627,,BUY,,2934
2024-12-04, SPX/J25P4225:xcbf 6091827183,,BUY,,3535
